time,signal_1,signal_2,unc
0.000000000000000000e+00,7.348390364021712529e+00,1.247241429336239094e+01,1.000000000000000000e+00
5.000000000000000278e-02,1.072608442942556373e+01,1.043668072638779520e+01,1.002709450439424277e+00
1.000000000000000056e-01,8.667405129408365383e+00,8.141523333114840000e+00,1.005418900878848776e+00
1.500000000000000222e-01,8.999134203701396828e+00,1.799059923590267118e+01,1.008128351318273053e+00
2.000000000000000111e-01,6.668485166799917430e+00,1.387981937944950772e+01,1.010837801757697330e+00
2.500000000000000000e-01,3.021399981312420824e+00,1.627716420401582553e+01,1.013547252197121828e+00
3.000000000000000444e-01,3.835478912219684400e+00,1.426590439748876449e+01,1.016256702636546105e+00
3.500000000000000333e-01,1.873210444357893412e+00,8.814322955157065209e+00,1.018966153075970604e+00
4.000000000000000222e-01,-6.932024324208045929e-01,6.076339445104356862e+00,1.021675603515394881e+00
4.500000000000000111e-01,-5.990430471200248519e+00,1.162595711360514983e+01,1.024385053954819158e+00
5.000000000000000000e-01,-6.321809289973822743e+00,1.003137733438998680e+01,1.027094504394243657e+00
5.500000000000000444e-01,-8.015555404295454878e+00,8.019081911428685316e+00,1.029803954833667934e+00
6.000000000000000888e-01,-6.463572621391690198e+00,1.292481925844189128e+01,1.032513405273092211e+00
6.500000000000000222e-01,-8.605416060378939136e+00,1.008327049415619925e+01,1.035222855712516710e+00
7.000000000000000666e-01,-7.689542694001148426e+00,1.115053699626926154e+01,1.037932306151940987e+00
7.500000000000000000e-01,-7.121098584046388069e+00,1.484099467012002904e+01,1.040641756591365263e+00
8.000000000000000444e-01,-5.781686012837992550e+00,9.930653041058484121e+00,1.043351207030789762e+00
8.500000000000000888e-01,-3.604998976213383166e+00,1.089195871616218803e+01,1.046060657470214039e+00
9.000000000000000222e-01,-1.981115255720502066e+00,9.041858585526984626e+00,1.048770107909638316e+00
9.500000000000000666e-01,-1.561394483287156021e+00,8.366146675267524202e+00,1.051479558349062815e+00
1.000000000000000000e+00,2.450744894938073237e+00,1.083109896146602580e+01,1.054189008788487092e+00
1.050000000000000044e+00,4.107418613217461711e-01,8.385271754589712856e+00,1.056898459227911591e+00
1.100000000000000089e+00,2.154673377480673224e+00,6.910727207819640228e+00,1.059607909667335868e+00
1.150000000000000133e+00,3.486166612492134220e+00,5.669302540083874575e+00,1.062317360106760145e+00
1.200000000000000178e+00,7.330782755056722166e+00,9.090130175101162280e+00,1.065026810546184644e+00
1.250000000000000000e+00,7.205775426991758437e+00,6.057281072755630547e+00,1.067736260985608920e+00
1.300000000000000044e+00,5.660248468812508982e+00,5.923992170115765177e+00,1.070445711425033197e+00
