time_1,signal_1,time_2,signal_2,time_3,signal_3,time_4,signal_4
0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01
5.000000000000000278e-02,1.298501249583407713e+01,5.000000000000000278e-02,1.298501249583407713e+01,5.000000000000000278e-02,1.298501249583407713e+01,5.000000000000000278e-02,1.298501249583407713e+01
1.000000000000000056e-01,1.294019973352372510e+01,1.000000000000000056e-01,1.294019973352372510e+01,1.000000000000000056e-01,1.294019973352372510e+01,1.000000000000000056e-01,1.294019973352372510e+01
1.500000000000000222e-01,1.286600946737681817e+01,1.500000000000000222e-01,1.286600946737681817e+01,1.500000000000000222e-01,1.286600946737681817e+01,1.500000000000000222e-01,1.286600946737681817e+01
2.000000000000000111e-01,1.276318298200865442e+01,2.000000000000000111e-01,1.276318298200865442e+01,2.000000000000000111e-01,1.276318298200865442e+01,2.000000000000000111e-01,1.276318298200865442e+01
2.500000000000000000e-01,1.263274768567111828e+01,2.500000000000000000e-01,1.263274768567111828e+01,2.500000000000000000e-01,1.263274768567111828e+01,2.500000000000000000e-01,1.263274768567111828e+01
3.000000000000000444e-01,1.247600684472903509e+01,3.000000000000000444e-01,1.247600684472903509e+01,3.000000000000000444e-01,1.247600684472903509e+01,3.000000000000000444e-01,1.247600684472903509e+01
3.500000000000000333e-01,1.229452656185346626e+01,3.500000000000000333e-01,1.229452656185346626e+01,3.500000000000000333e-01,1.229452656185346626e+01,3.500000000000000333e-01,1.229452656185346626e+01
4.000000000000000222e-01,1.209012012804149627e+01,4.000000000000000222e-01,1.209012012804149627e+01,4.000000000000000222e-01,1.209012012804149627e+01,4.000000000000000222e-01,1.209012012804149627e+01
4.500000000000000111e-01,1.186482990481199451e+01,4.500000000000000111e-01,1.186482990481199451e+01,4.500000000000000111e-01,1.186482990481199451e+01,4.500000000000000111e-01,1.186482990481199451e+01
5.000000000000000000e-01,1.162090691760441885e+01,5.000000000000000000e-01,1.162090691760441885e+01,5.000000000000000000e-01,1.162090691760441885e+01,5.000000000000000000e-01,1.162090691760441885e+01
5.500000000000000444e-01,1.136078836427673266e+01,5.500000000000000444e-01,1.136078836427673266e+01,5.500000000000000444e-01,1.136078836427673266e+01,5.500000000000000444e-01,1.136078836427673266e+01
6.000000000000000888e-01,1.108707326343002109e+01,6.000000000000000888e-01,1.108707326343002109e+01,6.000000000000000888e-01,1.108707326343002109e+01,6.000000000000000888e-01,1.108707326343002109e+01
6.500000000000000222e-01,1.080249648587376221e+01,6.500000000000000222e-01,1.080249648587376221e+01,6.500000000000000222e-01,1.080249648587376221e+01,6.500000000000000222e-01,1.080249648587376221e+01
7.000000000000000666e-01,1.050990142870072219e+01,7.000000000000000666e-01,1.050990142870072219e+01,7.000000000000000666e-01,1.050990142870072219e+01,7.000000000000000666e-01,1.050990142870072219e+01
7.500000000000000000e-01,1.021221160500310887e+01,7.500000000000000000e-01,1.021221160500310887e+01,7.500000000000000000e-01,1.021221160500310887e+01,7.500000000000000000e-01,1.021221160500310887e+01
8.000000000000000444e-01,9.912401433096134085e+00,8.000000000000000444e-01,9.912401433096134085e+00,8.000000000000000444e-01,9.912401433096134085e+00,8.000000000000000444e-01,9.912401433096134085e+00
8.500000000000000888e-01,9.613466517113424814e+00,8.500000000000000888e-01,9.613466517113424814e+00,8.500000000000000888e-01,9.613466517113424814e+00,8.500000000000000888e-01,9.613466517113424814e+00
9.000000000000000222e-01,9.318393715920738174e+00,9.000000000000000222e-01,9.318393715920738174e+00,9.000000000000000222e-01,9.318393715920738174e+00,9.000000000000000222e-01,9.318393715920738174e+00
9.500000000000000666e-01,9.030131299409489998e+00,9.500000000000000666e-01,9.030131299409489998e+00,9.500000000000000666e-01,9.030131299409489998e+00,9.500000000000000666e-01,9.030131299409489998e+00
1.000000000000000000e+00,8.751559490358573612e+00,1.000000000000000000e+00,8.751559490358573612e+00,1.000000000000000000e+00,8.751559490358573612e+00,1.000000000000000000e+00,8.751559490358573612e+00
1.050000000000000044e+00,8.485461686200427067e+00,1.050000000000000044e+00,8.485461686200427067e+00,1.050000000000000044e+00,8.485461686200427067e+00,1.050000000000000044e+00,8.485461686200427067e+00
1.100000000000000089e+00,8.234496648233962546e+00,1.100000000000000089e+00,8.234496648233962546e+00,1.100000000000000089e+00,8.234496648233962546e+00,1.100000000000000089e+00,8.234496648233962546e+00
1.150000000000000133e+00,8.001171936160528020e+00,1.150000000000000133e+00,8.001171936160528020e+00,1.150000000000000133e+00,8.001171936160528020e+00,1.150000000000000133e+00,8.001171936160528020e+00
1.200000000000000178e+00,7.787818853376262673e+00,1.200000000000000178e+00,7.787818853376262673e+00,1.200000000000000178e+00,7.787818853376262673e+00,1.200000000000000178e+00,7.787818853376262673e+00
1.250000000000000000e+00,7.596569153359198801e+00,1.250000000000000000e+00,7.596569153359198801e+00,1.250000000000000000e+00,7.596569153359198801e+00,1.250000000000000000e+00,7.596569153359198801e+00
1.300000000000000044e+00,7.429333739893158040e+00,1.300000000000000044e+00,7.429333739893158040e+00,1.300000000000000044e+00,7.429333739893158040e+00,1.300000000000000044e+00,7.429333739893158040e+00
1.350000000000000089e+00,7.287783573948816596e+00,1.350000000000000089e+00,7.287783573948816596e+00,1.350000000000000089e+00,7.287783573948816596e+00,1.350000000000000089e+00,7.287783573948816596e+00
1.400000000000000133e+00,7.173332977994025583e+00,1.400000000000000133e+00,7.173332977994025583e+00,1.400000000000000133e+00,7.173332977994025583e+00,1.400000000000000133e+00,7.173332977994025583e+00
1.450000000000000178e+00,7.087125504551227806e+00,1.450000000000000178e+00,7.087125504551227806e+00,1.450000000000000178e+00,7.087125504551227806e+00,1.450000000000000178e+00,7.087125504551227806e+00
1.500000000000000000e+00,7.030022510198663532e+00,1.500000000000000000e+00,7.030022510198663532e+00,1.500000000000000000e+00,7.030022510198663532e+00,1.500000000000000000e+00,7.030022510198663532e+00
1.550000000000000044e+00,7.002594549180161110e+00,1.550000000000000044e+00,7.002594549180161110e+00,1.550000000000000044e+00,7.002594549180161110e+00,1.550000000000000044e+00,7.002594549180161110e+00
1.600000000000000089e+00,7.005115672615740863e+00,1.600000000000000089e+00,7.005115672615740863e+00,1.600000000000000089e+00,7.005115672615740863e+00,1.600000000000000089e+00,7.005115672615740863e+00
1.650000000000000133e+00,7.037560690273405584e+00,1.650000000000000133e+00,7.037560690273405584e+00,1.650000000000000133e+00,7.037560690273405584e+00,1.650000000000000133e+00,7.037560690273405584e+00
1.700000000000000178e+00,7.099605422261617171e+00,1.700000000000000178e+00,7.099605422261617171e+00,1.700000000000000178e+00,7.099605422261617171e+00,1.700000000000000178e+00,7.099605422261617171e+00
1.750000000000000000e+00,7.190629938127610643e+00,1.750000000000000000e+00,7.190629938127610643e+00,1.750000000000000000e+00,7.190629938127610643e+00,1.750000000000000000e+00,7.190629938127610643e+00
1.800000000000000044e+00,7.309724750997558473e+00,1.800000000000000044e+00,7.309724750997558473e+00,1.800000000000000044e+00,7.309724750997558473e+00,1.800000000000000044e+00,7.309724750997558473e+00
1.850000000000000089e+00,7.455699904868776429e+00,1.850000000000000089e+00,7.455699904868776429e+00,1.850000000000000089e+00,7.455699904868776429e+00,1.850000000000000089e+00,7.455699904868776429e+00
1.900000000000000133e+00,7.627096864256750486e+00,1.900000000000000133e+00,7.627096864256750486e+00,1.900000000000000133e+00,7.627096864256750486e+00,1.900000000000000133e+00,7.627096864256750486e+00
1.950000000000000178e+00,7.822203087399580923e+00,1.950000000000000178e+00,7.822203087399580923e+00,1.950000000000000178e+00,7.822203087399580923e+00,1.950000000000000178e+00,7.822203087399580923e+00
2.000000000000000000e+00,8.039069137409164512e+00,2.000000000000000000e+00,8.039069137409164512e+00,2.000000000000000000e+00,8.039069137409164512e+00,2.000000000000000000e+00,8.039069137409164512e+00
2.050000000000000266e+00,8.275528160400194011e+00,2.050000000000000266e+00,8.275528160400194011e+00,2.050000000000000266e+00,8.275528160400194011e+00,2.050000000000000266e+00,8.275528160400194011e+00
2.100000000000000089e+00,8.529217535977901221e+00,2.100000000000000089e+00,8.529217535977901221e+00,2.100000000000000089e+00,8.529217535977901221e+00,2.100000000000000089e+00,8.529217535977901221e+00
2.149999999999999911e+00,8.797602483760073255e+00,2.149999999999999911e+00,8.797602483760073255e+00,2.149999999999999911e+00,8.797602483760073255e+00,2.149999999999999911e+00,8.797602483760073255e+00
2.200000000000000178e+00,9.078001390064741827e+00,2.200000000000000178e+00,9.078001390064741827e+00,2.200000000000000178e+00,9.078001390064741827e+00,2.200000000000000178e+00,9.078001390064741827e+00
2.250000000000000000e+00,9.367612601707660858e+00,2.250000000000000000e+00,9.367612601707660858e+00,2.250000000000000000e+00,9.367612601707660858e+00,2.250000000000000000e+00,9.367612601707660858e+00
2.300000000000000266e+00,9.663542419194838473e+00,2.300000000000000266e+00,9.663542419194838473e+00,2.300000000000000266e+00,9.663542419194838473e+00,2.300000000000000266e+00,9.663542419194838473e+00
2.350000000000000089e+00,9.962834009611327701e+00,2.350000000000000089e+00,9.962834009611327701e+00,2.350000000000000089e+00,9.962834009611327701e+00,2.350000000000000089e+00,9.962834009611327701e+00
2.400000000000000355e+00,1.026249695031834186e+01,2.400000000000000355e+00,1.026249695031834186e+01,2.400000000000000355e+00,1.026249695031834186e+01,2.400000000000000355e+00,1.026249695031834186e+01
2.450000000000000178e+00,1.055953710826772785e+01,2.450000000000000178e+00,1.055953710826772785e+01,2.450000000000000178e+00,1.055953710826772785e+01,2.450000000000000178e+00,1.055953710826772785e+01
2.500000000000000000e+00,1.085098655638967813e+01,2.500000000000000000e+00,1.085098655638967813e+01,2.500000000000000000e+00,1.085098655638967813e+01,2.500000000000000000e+00,1.085098655638967813e+01
2.550000000000000266e+00,1.113393322813894315e+01,2.550000000000000266e+00,1.113393322813894315e+01,2.550000000000000266e+00,1.113393322813894315e+01,2.550000000000000266e+00,1.113393322813894315e+01
2.600000000000000089e+00,1.140555001390113077e+01,2.600000000000000089e+00,1.140555001390113077e+01,2.600000000000000089e+00,1.140555001390113077e+01,2.600000000000000089e+00,1.140555001390113077e+01
2.650000000000000355e+00,1.166312300853748418e+01,2.650000000000000355e+00,1.166312300853748418e+01,2.650000000000000355e+00,1.166312300853748418e+01,2.650000000000000355e+00,1.166312300853748418e+01
2.700000000000000178e+00,1.190407862782790360e+01,2.700000000000000178e+00,1.190407862782790360e+01,2.700000000000000178e+00,1.190407862782790360e+01,2.700000000000000178e+00,1.190407862782790360e+01
2.750000000000000000e+00,1.212600932287378086e+01,2.750000000000000000e+00,1.212600932287378086e+01,2.750000000000000000e+00,1.212600932287378086e+01,2.750000000000000000e+00,1.212600932287378086e+01
2.800000000000000266e+00,1.232669763553075093e+01,2.800000000000000266e+00,1.232669763553075093e+01,2.800000000000000266e+00,1.232669763553075093e+01,2.800000000000000266e+00,1.232669763553075093e+01
2.850000000000000089e+00,1.250413835451747957e+01,2.850000000000000089e+00,1.250413835451747957e+01,2.850000000000000089e+00,1.250413835451747957e+01,2.850000000000000089e+00,1.250413835451747957e+01
2.900000000000000355e+00,1.265655855082395753e+01,2.900000000000000355e+00,1.265655855082395753e+01,2.900000000000000355e+00,1.265655855082395753e+01,2.900000000000000355e+00,1.265655855082395753e+01
2.950000000000000178e+00,1.278243529223210828e+01,2.950000000000000178e+00,1.278243529223210828e+01,2.950000000000000178e+00,1.278243529223210828e+01,2.950000000000000178e+00,1.278243529223210828e+01
3.000000000000000000e+00,1.288051085995109801e+01,3.000000000000000000e+00,1.288051085995109801e+01,3.000000000000000000e+00,1.288051085995109801e+01,3.000000000000000000e+00,1.288051085995109801e+01
3.050000000000000266e+00,1.294980531532775458e+01,3.050000000000000266e+00,1.294980531532775458e+01,3.050000000000000266e+00,1.294980531532775458e+01,3.050000000000000266e+00,1.294980531532775458e+01
3.100000000000000089e+00,1.298962629106965139e+01,3.100000000000000089e+00,1.298962629106965139e+01,3.100000000000000089e+00,1.298962629106965139e+01,3.100000000000000089e+00,1.298962629106965139e+01
3.150000000000000355e+00,1.299957590915024497e+01,3.150000000000000355e+00,1.299957590915024497e+01,3.150000000000000355e+00,1.299957590915024497e+01,3.150000000000000355e+00,1.299957590915024497e+01
3.200000000000000178e+00,1.297955475627457744e+01,3.200000000000000178e+00,1.297955475627457744e+01,3.200000000000000178e+00,1.297955475627457744e+01,3.200000000000000178e+00,1.297955475627457744e+01
3.250000000000000000e+00,1.292976287718407136e+01,3.250000000000000000e+00,1.292976287718407136e+01,3.250000000000000000e+00,1.292976287718407136e+01,3.250000000000000000e+00,1.292976287718407136e+01
3.300000000000000266e+00,1.285069777587558804e+01,3.300000000000000266e+00,1.285069777587558804e+01,3.300000000000000266e+00,1.285069777587558804e+01,3.300000000000000266e+00,1.285069777587558804e+01
3.350000000000000089e+00,1.274314944470595812e+01,3.350000000000000089e+00,1.274314944470595812e+01,3.350000000000000089e+00,1.274314944470595812e+01,3.350000000000000089e+00,1.274314944470595812e+01
3.400000000000000355e+00,1.260819247104947394e+01,3.400000000000000355e+00,1.260819247104947394e+01,3.400000000000000355e+00,1.260819247104947394e+01,3.400000000000000355e+00,1.260819247104947394e+01
3.450000000000000178e+00,1.244717530037607034e+01,3.450000000000000178e+00,1.244717530037607034e+01,3.450000000000000178e+00,1.244717530037607034e+01,3.450000000000000178e+00,1.244717530037607034e+01
3.500000000000000000e+00,1.226170676302991325e+01,3.500000000000000000e+00,1.226170676302991325e+01,3.500000000000000000e+00,1.226170676302991325e+01,3.500000000000000000e+00,1.226170676302991325e+01
3.550000000000000266e+00,1.205363999932841779e+01,3.550000000000000266e+00,1.205363999932841779e+01,3.550000000000000266e+00,1.205363999932841779e+01,3.550000000000000266e+00,1.205363999932841779e+01
3.600000000000000089e+00,1.182505394359676387e+01,3.600000000000000089e+00,1.182505394359676387e+01,3.600000000000000089e+00,1.182505394359676387e+01,3.600000000000000089e+00,1.182505394359676387e+01
3.650000000000000355e+00,1.157823255214331404e+01,3.650000000000000355e+00,1.157823255214331404e+01,3.650000000000000355e+00,1.157823255214331404e+01,3.650000000000000355e+00,1.157823255214331404e+01
3.700000000000000178e+00,1.131564198272317157e+01,3.700000000000000178e+00,1.131564198272317157e+01,3.700000000000000178e+00,1.131564198272317157e+01,3.700000000000000178e+00,1.131564198272317157e+01
3.750000000000000000e+00,1.103990595350507675e+01,3.750000000000000000e+00,1.103990595350507675e+01,3.750000000000000000e+00,1.103990595350507675e+01,3.750000000000000000e+00,1.103990595350507675e+01
3.800000000000000266e+00,1.075377952774676515e+01,3.800000000000000266e+00,1.075377952774676515e+01,3.800000000000000266e+00,1.075377952774676515e+01,3.800000000000000266e+00,1.075377952774676515e+01
3.850000000000000089e+00,1.046012158611359233e+01,3.850000000000000089e+00,1.046012158611359233e+01,3.850000000000000089e+00,1.046012158611359233e+01,3.850000000000000089e+00,1.046012158611359233e+01
3.900000000000000355e+00,1.016186626168794582e+01,3.900000000000000355e+00,1.016186626168794582e+01,3.900000000000000355e+00,1.016186626168794582e+01,3.900000000000000355e+00,1.016186626168794582e+01
